port,port_lat,port_lon,port_state,mandi,mandi_lat,mandi_lon,mandi_state,fish_type,fish_size,mandi_price_inr_per_kg,distance_km,transport_cost_inr_per_kg,net_price_inr_per_kg
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,"Sassoon Dock, Mumbai",18.914,72.8245,Maharashtra,Tuna,Small,289.8,0.06,0.14,289.66
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,"Sassoon Dock, Mumbai",18.914,72.8245,Maharashtra,Tuna,Medium,312.0,0.06,0.14,311.86
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,"Sassoon Dock, Mumbai",18.914,72.8245,Maharashtra,Tuna,Large,280.8,0.06,0.14,280.66
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,"Sassoon Dock, Mumbai",18.914,72.8245,Maharashtra,Pomfret,Small,410.4,0.06,0.14,410.26
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,"Sassoon Dock, Mumbai",18.914,72.8245,Maharashtra,Pomfret,Medium,421.0,0.06,0.14,420.86
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,"Sassoon Dock, Mumbai",18.914,72.8245,Maharashtra,Pomfret,Large,645.6,0.06,0.14,645.46
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,"Sassoon Dock, Mumbai",18.914,72.8245,Maharashtra,Seer Fish,Small,423.0,0.06,0.14,422.86
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,"Sassoon Dock, Mumbai",18.914,72.8245,Maharashtra,Seer Fish,Medium,552.0,0.06,0.14,551.86
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,"Sassoon Dock, Mumbai",18.914,72.8245,Maharashtra,Seer Fish,Large,685.2,0.06,0.14,685.06
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,"Sassoon Dock, Mumbai",18.914,72.8245,Maharashtra,Prawn,Small,417.6,0.06,0.14,417.46
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,"Sassoon Dock, Mumbai",18.914,72.8245,Maharashtra,Prawn,Medium,580.0,0.06,0.14,579.86
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,"Sassoon Dock, Mumbai",18.914,72.8245,Maharashtra,Prawn,Large,404.4,0.06,0.14,404.26
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,"Sassoon Dock, Mumbai",18.914,72.8245,Maharashtra,Mackerel,Small,185.4,0.06,0.14,185.26
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,"Sassoon Dock, Mumbai",18.914,72.8245,Maharashtra,Mackerel,Medium,189.0,0.06,0.14,188.86
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,"Sassoon Dock, Mumbai",18.914,72.8245,Maharashtra,Mackerel,Large,231.6,0.06,0.14,231.46
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,"Sassoon Dock, Mumbai",18.914,72.8245,Maharashtra,Sardine,Small,74.7,0.06,0.14,74.56
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,"Sassoon Dock, Mumbai",18.914,72.8245,Maharashtra,Sardine,Medium,62.0,0.06,0.14,61.86
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,"Sassoon Dock, Mumbai",18.914,72.8245,Maharashtra,Sardine,Large,97.2,0.06,0.14,97.06
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,"Crawford Fish Market, Mumbai",18.9475,72.8356,Maharashtra,Tuna,Small,244.8,3.87,9.67,235.13
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,"Crawford Fish Market, Mumbai",18.9475,72.8356,Maharashtra,Tuna,Medium,221.0,3.87,9.67,211.33
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,"Crawford Fish Market, Mumbai",18.9475,72.8356,Maharashtra,Tuna,Large,368.4,3.87,9.67,358.73
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,"Crawford Fish Market, Mumbai",18.9475,72.8356,Maharashtra,Pomfret,Small,578.7,3.87,9.67,569.03
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,"Crawford Fish Market, Mumbai",18.9475,72.8356,Maharashtra,Pomfret,Medium,735.0,3.87,9.67,725.33
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,"Crawford Fish Market, Mumbai",18.9475,72.8356,Maharashtra,Pomfret,Large,649.2,3.87,9.67,639.53
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,"Crawford Fish Market, Mumbai",18.9475,72.8356,Maharashtra,Seer Fish,Small,653.4,3.87,9.67,643.73
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,"Crawford Fish Market, Mumbai",18.9475,72.8356,Maharashtra,Seer Fish,Medium,610.0,3.87,9.67,600.33
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,"Crawford Fish Market, Mumbai",18.9475,72.8356,Maharashtra,Seer Fish,Large,915.6,3.87,9.67,905.93
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,"Crawford Fish Market, Mumbai",18.9475,72.8356,Maharashtra,Prawn,Small,243.9,3.87,9.67,234.23
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,"Crawford Fish Market, Mumbai",18.9475,72.8356,Maharashtra,Prawn,Medium,502.0,3.87,9.67,492.33
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,"Crawford Fish Market, Mumbai",18.9475,72.8356,Maharashtra,Prawn,Large,582.0,3.87,9.67,572.33
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,"Crawford Fish Market, Mumbai",18.9475,72.8356,Maharashtra,Mackerel,Small,160.2,3.87,9.67,150.53
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,"Crawford Fish Market, Mumbai",18.9475,72.8356,Maharashtra,Mackerel,Medium,138.0,3.87,9.67,128.33
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,"Crawford Fish Market, Mumbai",18.9475,72.8356,Maharashtra,Mackerel,Large,177.6,3.87,9.67,167.93
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,"Crawford Fish Market, Mumbai",18.9475,72.8356,Maharashtra,Sardine,Small,90.9,3.87,9.67,81.23
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,"Crawford Fish Market, Mumbai",18.9475,72.8356,Maharashtra,Sardine,Medium,119.0,3.87,9.67,109.33
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,"Crawford Fish Market, Mumbai",18.9475,72.8356,Maharashtra,Sardine,Large,166.8,3.87,9.67,157.13
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,"Vashi Fish Market, Navi Mumbai",19.077,73.0037,Maharashtra,Tuna,Small,210.6,26.09,65.23,145.37
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,"Vashi Fish Market, Navi Mumbai",19.077,73.0037,Maharashtra,Tuna,Medium,270.0,26.09,65.23,204.77
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,"Vashi Fish Market, Navi Mumbai",19.077,73.0037,Maharashtra,Tuna,Large,392.4,26.09,65.23,327.17
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,"Vashi Fish Market, Navi Mumbai",19.077,73.0037,Maharashtra,Pomfret,Small,363.6,26.09,65.23,298.37
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,"Vashi Fish Market, Navi Mumbai",19.077,73.0037,Maharashtra,Pomfret,Medium,593.0,26.09,65.23,527.77
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,"Vashi Fish Market, Navi Mumbai",19.077,73.0037,Maharashtra,Pomfret,Large,802.8,26.09,65.23,737.57
Mumbai (Sassoon Dock),18.9142,72.825,Maharashtra,"Vashi Fish Market, Navi Mumbai",19.077,73.0037,Maharashtra,Seer Fish,Small,522.0,26.09,65.23,456.77
